区域id	区域名称	区域等级	宣战品id	下限	上限	相邻区域id
1	Fort	1	19680	100	400	16;20;23;24;34;35
2	Royal	1	19680	100	400	30;32;39;42;47;49
3	Sunstream	2	19680	50	200	15;16;17
4	Jadeon	2	19680	50	200	18;19;20
5	Skysong	2	19680	50	200	21;22;23
6	Laguna	2	19680	50	200	24;25;26
7	Brigands	2	19680	50	200	27;28;29
8	Wildland	2	19680	50	200	30;31;32
9	Surveys	2	19680	50	200	33;34;35
10	Seven	2	19680	50	200	36;37;38
11	Cold	2	19680	50	200	39;40;41
12	Djinn	2	19680	50	200	42;43;44
13	Dragon	2	19680	50	200	45;46;47
14	Ancient	2	19680	50	200	48;49;50
15	Village	3	19680	10	40	3;16;17;19;20;33;29
16	Cottage	3	19680	10	40	1;3;15;17;20;34
17	Kindling	3	19680	10	40	3;15;16;33;34
18	Moontop	3	19680	10	40	4;19;20;21;23;28;29
19	Peak	3	19680	10	40	4;15;18;20;29
20	Heights	3	19680	10	40	1;4;15;16;18;19;23
21	Pristine	3	19680	10	40	5;18;22;23;28
22	Generosity	3	19680	10	40	5;21;23;24;25
23	Myriad	3	19680	10	40	1;5;18;20;21;22;24
24	Lunar	3	19680	10	40	1;6;22;23;25;26
25	Patriot	3	19680	10	40	6;22;24;26
26	Conversation	3	19680	10	40	6;24;25
27	Dread	3	19680	10	40	7;28;29;30;31;39;40
28	Vile	3	19680	10	40	7;18;21;27;29;31
29	Longevity	3	19680	10	40	7;18;19;27;28;40;15
30	Reincarnation	3	19680	10	40	2;8;27;28;27;31;32;39
31	Azure	3	19680	10	40	8;27;28;30;32;43
32	Blackcloud	3	19680	10	40	2;8;30;31;42;43
33	Soulflame	3	19680	10	40	9;15;17;34;35;36
34	Fishman	3	19680	10	40	1;9;16;17;33;35
35	Prison	3	19680	10	40	1;9;33;34;36;38
36	Wansha	3	19680	10	40	10;33;35;37;38
37	Mountain	3	19680	10	40	10;36;38
38	Everrain	3	19680	10	40	10;35;36;37
39	Lake	3	19680	10	40	2;11;27;30;40;41;47
40	Feeble	3	19680	10	40	11;27;29;39;41
41	Clearwind	3	19680	10	40	11;39;40;46;47
42	Blood	3	19680	10	40	2;12;32;43;44
43	Ripe	3	19680	10	40	12;31;32;42;44
44	Righteous	3	19680	10	40	12;42;43
45	Scarlet	3	19680	10	40	13;46;47;49;50
46	Altar	3	19680	10	40	13;41;45;47
47	Floral	3	19680	10	40	2;13;39;41;45;46;49
48	Welkin	3	19680	10	40	14;49;50
49	Starview	3	19680	10	40	2;14;45;47;48;50
50	Cloudride	3	19680	10	40	14;45;48;49
